customer_id;customer_name;segment;country;city;state;postal_code;region
JL-15505;Jeremy Lonsdale;Consumer;United States;Aberdeen;South Dakota;57401;Central
DK-13375;Dennis Kane;Consumer;United States;Abilene;Texas;79605;Central
EB-13705;Ed Braxton;Corporate;United States;Akron;Ohio;44312;East
JM-15865;John Murray;Consumer;United States;Akron;Ohio;44312;East
KB-16315;Karl Braun;Consumer;United States;Akron;Ohio;44312;East
KH-16630;Ken Heidel;Corporate;United States;Akron;Ohio;44312;East
MB-17305;Maria Bertelson;Consumer;United States;Akron;Ohio;44312;East
MD-17350;Maribeth Dona;Consumer;United States;Akron;Ohio;44312;East
RD-19810;Ross DeVincentis;Home Office;United States;Akron;Ohio;44312;East
SP-20650;Stephanie Phelps;Corporate;United States;Akron;Ohio;44312;East
TT-21070;Ted Trevino;Consumer;United States;Akron;Ohio;44312;East
BF-11215;Benjamin Farhat;Home Office;United States;Albuquerque;New Mexico;87105;West
DR-12940;Daniel Raglin;Home Office;United States;Albuquerque;New Mexico;87105;West
DW-13195;David Wiener;Corporate;United States;Albuquerque;New Mexico;87105;West
FC-14335;Fred Chung;Corporate;United States;Albuquerque;New Mexico;87105;West
ML-18040;Michelle Lonsdale;Corporate;United States;Albuquerque;New Mexico;87105;West
ST-20530;Shui Tom;Consumer;United States;Albuquerque;New Mexico;87105;West
SV-20935;Susan Vittorini;Consumer;United States;Albuquerque;New Mexico;87105;West
AG-10495;Andrew Gjertsen;Corporate;United States;Alexandria;Virginia;22304;South
DD-13570;Dorothy Dickinson;Consumer;United States;Alexandria;Virginia;22304;South
GM-14695;Greg Maxwell;Corporate;United States;Alexandria;Virginia;22304;South
RC-19825;Roy Collins;Consumer;United States;Alexandria;Virginia;22304;South
SD-20485;Shirley Daniels;Home Office;United States;Alexandria;Virginia;22304;South
TB-21400;Tom Boeckenhauer;Consumer;United States;Alexandria;Virginia;22304;South
AG-10675;Anna Gayman;Consumer;United States;Allen;Texas;75002;Central
AW-10840;Anthony Witt;Consumer;United States;Allen;Texas;75002;Central
CJ-12010;Caroline Jumper;Consumer;United States;Allentown;Pennsylvania;18103;East
SM-20320;Sean Miller;Home Office;United States;Allentown;Pennsylvania;18103;East
